Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
RELIANCE,EQ,1-Jan-21,1985.3,1988,1997,1982,1988,1987.5,1989.5,4622002,9195480292,139680,1013314,21.92
RELIANCE,EQ,4-Jan-21,1987.5,1995.1,1998.9,1968,1990.25,1990.85,1982.61,11312992,22429227857,316871,3869604,34.2
RELIANCE,EQ,5-Jan-21,1990.85,1969,1983.6,1956,1965,1966.1,1968.87,11132803,21919019063,300233,5208047,46.78
RELIANCE,EQ,6-Jan-21,1966.1,1965.9,1966,1905.15,1915.5,1914.25,1928.17,21414270,41290368153,659284,9038101,42.21
RELIANCE,EQ,7-Jan-21,1914.25,1920.5,1945,1905.15,1912.8,1911.15,1919.86,14918406,28641263321,454695,6452659,43.25
RELIANCE,EQ,8-Jan-21,1911.15,1918,1938.4,1912.1,1934,1933.7,1923.06,12709792,24441751753,270966,5303550,41.73
RELIANCE,EQ,11-Jan-21,1933.7,1938.8,1938.8,1892.5,1899,1897.25,1910.26,15371556,29363709013,479137,7697815,50.08
RELIANCE,EQ,12-Jan-21,1897.25,1903,1960,1899.9,1955.5,1957.05,1935.51,18996047,36766988576,417387,8987850,47.31
RELIANCE,EQ,13-Jan-21,1957.05,1963.55,1974.95,1918.45,1936,1938.8,1948.25,12284876,23934034448,304901,4368602,35.56
RELIANCE,EQ,14-Jan-21,1938.8,1945,1966.9,1939.05,1958.1,1960.6,1957.17,9946818,19467651412,287671,5225648,52.54
RELIANCE,EQ,15-Jan-21,1960.6,1960.6,1973.8,1920.05,1937.9,1937.45,1952.72,9503790,18558204988,264152,3947767,41.54
RELIANCE,EQ,18-Jan-21,1937.45,1949.1,1997,1923.35,1972.8,1983.95,1967.71,16198856,31874686565,399642,6014603,37.13
RELIANCE,EQ,19-Jan-21,1983.95,1994.65,2031,1994.65,2015,2016.4,2018.21,14771048,29811112716,411707,6055057,40.99
RELIANCE,EQ,20-Jan-21,2016.4,2021.4,2058,2001.4,2053,2054.7,2036.58,14271669,29065337316,456106,6676332,46.78
RELIANCE,EQ,21-Jan-21,2054.7,2082,2120,2075,2107,2099.4,2102.61,18038987,37928961935,483168,6386636,35.4
RELIANCE,EQ,22-Jan-21,2099.4,2111,2115.35,2035.15,2047.95,2049.6,2070.96,14090818,29181582565,388593,3512524,24.93
RELIANCE,EQ,25-Jan-21,2049.6,2034.95,2034.95,1932,1935.15,1941,1966.36,25016570,49191602456,723194,9041658,36.14
RELIANCE,EQ,27-Jan-21,1941,1925,1925,1888,1890,1895,1904.59,19553809,37241980448,637355,9587173,49.03
RELIANCE,EQ,28-Jan-21,1895,1880.15,1923.3,1870,1876.35,1876.55,1895.32,15722291,29798806094,446576,4697008,29.87
RELIANCE,EQ,29-Jan-21,1876.55,1894.3,1913.1,1830,1844.95,1841.95,1871.72,20173258,37758612332,472678,9106845,45.14
RELIANCE,EQ,1-Feb-21,1841.95,1859.4,1905,1848,1898.15,1895.3,1874.03,15774504,29561820671,370120,7864911,49.86
RELIANCE,EQ,2-Feb-21,1895.3,1914.25,1940,1854.95,1936,1925.8,1889.81,19138414,36168052851,561567,7369471,38.51
RELIANCE,EQ,3-Feb-21,1925.8,1928.3,1952,1900,1928.5,1930.65,1931.87,13984228,27015673443,345625,4832689,34.56
RELIANCE,EQ,4-Feb-21,1930.65,1924,1940,1905,1921.5,1924.3,1923.71,11826848,22751381754,332784,5411559,45.76
RELIANCE,EQ,5-Feb-21,1924.3,1930.05,1944.65,1920,1924.3,1923.75,1929.36,9344470,18028883268,263144,3564531,38.15
RELIANCE,EQ,8-Feb-21,1923.75,1933.05,1969,1929.05,1951.4,1951.45,1954.84,9776136,19110816695,287247,3553415,36.35
RELIANCE,EQ,9-Feb-21,1951.45,1961.95,1989.6,1952.3,1954.5,1956.15,1974.29,9047308,17861994119,254384,3417112,37.77
